"Candidate","Human","Autograder"
"154852","24","31"
"152654","31","34"
"153428","29","27"
"142801","36","32"
"152988","27","29"
"124558","28","28"
"142923","28","30"
"152198","30","30"
"153713","29","28"
"155007","26.5","26"
"98389","19","18"
"154173","28","34"
"154500","28.5","24"
"152947","33.5","30"
"154686","8.5","5"
"153850","27","26"
"154286","22","15"
"153474","19","25"
"149844","25","26"
"153251","35","31"
"142095","32.5","-1"
"153710","25","25"
"154305","18.5","29"
"153487","28.5","28"
"152186","36","35"
"68989","12.5","22"
"153281","20","20"
"150411","23","16"
"153590","23.5","29"
"127253","34.5","35"
"154362","32","23"
"152612","31","23"
"153230","29.5","32"
"142146","20","26"
"153792","38.5","34"
"154141","21.5","18"
"152522","39","35"
"155236","30","34"
"152716","21.5","24"
"153148","31.5","26"
"152450","35","31"
"153904","35.5","33"
"153271","18.5","27"
"153297","34","32"
"153234","17.5","34"
"154282","34","33"
"150065","35","33"
"153458","30","31"
"146206","32","28"
"141772","36.5","34"
"154948","23.5","27"
"154229","26.5","31"
"155024","35.5","35"
"121464","30","29"
"154153","25","21"
"153706","28.5","28"
"80417","35","32"
"154662","19.5","23"
"148588","24","21"
"154753","26.5","29"
"152444","37","36"
"131193","29.5","26"
"147612","21.5","23"
"154634","33.5","31"
"155080","32","33"
"152260","29","30"
"154689","13.5","20"
"153736","25.5","27"
"154944","16","23"
"144512","29","28"
"128998","21.5","30"
"150433","28","28"
"154809","21.5","13"
