"Candidate","Human","Autograder"
"1027493","3.5","2"
"1027521","4","3"
"1027537","3","2"
"1027324","3.5","2"
"1027340","2.5","1"
"1027361","3.5","3"
"1027532","0.5","3"
"1027351","3","2"
"1027395","3","1"
"1027457","3","1"
"1027465","2.5","2"
"1027529","3","2"
"1027531","3","2"
"1027580","2","2"
"1027600","3.5","3"
"1027612","3.5","1"
"1027512","4","3"
"1027668","3.5","3"
"1027350","2.5","2"
"1027382","3.5","3"
"1027445","3","1"
"1027482","3","0"
"1027508","3","2"
"1027679","3.5","2"
"1027346","3.5","2"
"1027424","3.5","2"
"1027439","3.5","2"
"1027461","3","3"
"1027498","3","1"
"1027513","3.5","1"
"1027570","3.5","1"
"1027630","4","3"
"1027327","2.5","3"
"1027335","3.5","4"
"1027341","0.5","0"
"1027379","3.5","1"
"1027444","4","2"
"1027480","2","0"
"1027489","1","0"
"1027687","4","2"
"1027417","3","2"
"1027680","3","2"
"1027333","4","2"
"1027431","4","1"
"1027464","3.5","1"
"1027591","0","0"
"1027618","3","3"
"1027343","3","1"
"1027422","3.5","2"
"1027488","3","3"
"1027519","3.5","4"
"1027586","2.5","1"
"1027337","4","2"
"1027349","4","2"
"1027369","2","4"
"1027377","3","2"
"1027677","3","3"
"1027683","3.5","2"
"1027639","3","1"
"1027653","3.5","1"
"1027672","3.5","3"
"1027658","3.5","4"
"1027660","0.5","0"
"1027332","3.5","2"
"1027546","4","2"
"1027656","3.5","1"
"1027666","0","-1"
"1027358","4","1"
"1027528","3","1"
"1027550","3","3"
"1027407","3.5","2"
"1027501","1","2"
"1027542","3","2"
"1027564","4","1"
"1027423","3.5","5"
"1027426","2.5","2"
"1027491","4","2"
"1027495","0","1"
"1027525","1","2"
"1027613","4","3"
"1027646","4","1"
"1027336","2.5","3"
"1027435","4","2"
"1027453","4","2"
"1027516","2.5","3"
"1027551","3.5","2"
"1027608","0.5","0"
"1027675","4","2"
"1027354","4","2"
"1027438","3.5","1"
"1027490","1","1"
"1027576","3","3"
"1027619","4","1"
"1027663","4","2"
"1027451","0.5","1"
"1027448","4","2"
"1027476","4","2"
"1027477","4","2"
"1027539","4","2"
"1027582","0","0"
"1027648","4","2"
"1027428","4","3"
"1027449","3","1"
"1027597","3","2"
"1027492","3","1"
"1027536","2.5","5"
"1027541","4","2"
"1027553","4","4"
"1027640","3.5","1"
"1027345","3.5","1"
"1027385","2","3"
"1027342","3","2"
"1027478","3.5","2"
"1027502","0.5","0"
"1027654","3.5","2"
"1027427","3","1"
"1027433","4","4"
"1027522","1","1"
"1027549","1","2"
"1027555","0.5","0"
"1027651","0","0"
"1027452","2","3"
"1027526","3.5","2"
"1027627","3.5","3"
"1027691","0.5","1"
"1027391","3","3"
"1027396","3","1"
"1027436","0.5","1"
"1027568","4","6"
"1027584","4","4"
"1027667","3.5","1"
"1027331","1","1"
"1027615","0.5","1"
"1027348","1.5","2"
"1027372","0","0"
"1027399","2","1"
"1027401","3","3"
"1027681","3","1"
"1027378","0.5","0"
"1027459","3.5","3"
"1027557","1","2"
"1027357","3.5","1"
"1027420","0.5","1"
"1027468","0","1"
"1027547","3.5","3"
"1027581","3.5","2"
"1027440","2.5","4"
"1027659","0.5","0"
"1027321","3.5","2"
"1027416","3.5","1"
"1027447","4","5"
"1027503","3.5","2"
"1027558","3","3"
"1027339","3","2"
"1027442","4","1"
"1027644","3.5","1"
"1027429","3","1"
"1027602","2.5","1"
"1027598","3","4"
"1027347","4","1"
"1027509","0","1"
"1027562","0","0"
"1027665","3.5","2"
"1027328","3.5","3"
"1027494","0.5","0"
"1027499","1","1"
"1027535","1","2"
"1027589","3.5","3"
"1027599","0.5","0"
"1027359","3","1"
"1027507","3","1"
"1027662","4","2"
"1027674","3.5","1"
"1027322","3.5","2"
"1027344","0.5","1"
"1027527","4","1"
"1027573","3.5","3"
"1027594","3.5","3"
"1027386","3.5","2"
"1027404","3","2"
"1027462","0.5","0"
"1027604","0.5","1"
"1027320","3","1"
"1027353","0","0"
"1027376","4","1"
"1027389","0","0"
"1027470","4","3"
"1027510","4","1"
"1027593","1","2"
"1027398","2.5","4"
"1027517","0.5","3"
"1027534","3","2"
"1027524","1","0"
"1027373","2.5","1"
"1027387","3.5","1"
"1027543","2.5","2"
"1027408","1.5","2"
"1027446","1","2"
"1027463","3","2"
"1027559","3.5","1"
"1027330","3","1"
"1027368","2","1"
"1027533","3.5","2"
"1027548","3","1"
"1027577","3","3"
"1027661","0.5","1"
"1027443","4","1"
"1027579","3","2"
"1027325","4","4"
"1027360","0","3"
"1027434","1","1"
"1027485","4","2"
"1027566","4","2"
"1027326","4","1"
"1027370","1","0"
"1027390","4","2"
"1027472","3.5","1"
"1027481","0.5","1"
"1027486","3.5","4"
"1027418","3","2"
"1027421","1.5","2"
"1027484","3","2"
"1027506","3","1"
"1027596","3","3"
"1027607","4","1"
"1027474","2.5","2"
"1027655","3.5","1"
"1027352","3.5","2"
"1027362","3.5","1"
"1027409","1","1"
"1027645","4","2"
"1027356","3","1"
"1027383","3","1"
"1027397","1","1"
"1027456","3.5","1"
"1027460","0","-1"
"1027545","3","3"
"1027583","1","2"
"1027515","0.5","0"
"1027518","4","1"
"1027611","3","2"
"1027634","0.5","0"
"1027355","4","1"
